commentId	sourceItemURL	commentTitle	SourceItemId	sourceItemTitle	createDate	TookIntoConsideration	TookIntoConsiderationReason	Remark	commentState
3055	https://localhost:44300/PublicConsultation/View/2920	дълъг коментар с оценка на въздействието	2920	Проект на Закон за допълнение на Закона за данъка върху добавената стойност	Sep 23 2017  6:43PM	Неразгледан			Одобрен
3054	https://localhost:44300/PublicConsultation/View/2920	ограничаване на плащанията в брой	2920	Проект на Закон за допълнение на Закона за данъка върху добавената стойност	Sep 23 2017  6:14PM	Неразгледан			Одобрен
2175	https://localhost:44300/PublicConsultation/View/2184	Становище на СИБ	2184	Проект на Постановление на Министерския съвет за приемане на Наредба за обхвата и методологията за извършване на оценка на въздействието	Sep 23 2016  9:44AM	Неразгледан			Одобрен
2176	https://localhost:44300/PublicConsultation/View/2184	"Становището на Тематична група ""Климатична промени"""	2184	Проект на Постановление на Министерския съвет за приемане на Наредба за обхвата и методологията за извършване на оценка на въздействието	Sep 23 2016  5:43PM	Неразгледан			Одобрен
1088	https://localhost:44300/PublicConsultation/View/1356	Нов3	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014 12:01AM	Неразгледан			Одобрен
1087	https://localhost:44300/PublicConsultation/View/1356	Нов2	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014 12:00AM	Неразгледан			Одобрен
1097	https://localhost:44300/PublicConsultation/View/1356	Приоритетни области на стратегията	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014 11:53PM	Неразгледан			Одобрен
1096	https://localhost:44300/PublicConsultation/View/1356	Заглавие	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014 10:29PM	Неразгледан			Одобрен
1095	https://localhost:44300/PublicConsultation/View/1356	Коментари на БАКЕП	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014  8:05PM	Неразгледан			Одобрен
1093	https://localhost:44300/PublicConsultation/View/1356	Коментари на БАКЕП	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014  8:04PM	Неразгледан			Одобрен
1094	https://localhost:44300/PublicConsultation/View/1356	Коментари на БАКЕП	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014  8:04PM	Неразгледан			Одобрен
1092	https://localhost:44300/PublicConsultation/View/1356	Коментари на БАКЕП	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014  8:03PM	Неразгледан			Одобрен
1091	https://localhost:44300/PublicConsultation/View/1356	Коментари на БАКЕП	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014  8:02PM	Неразгледан			Одобрен
1090	https://localhost:44300/PublicConsultation/View/1356	Коментари на БАКЕП	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014  7:56PM	Неразгледан			Одобрен
1089	https://localhost:44300/PublicConsultation/View/1356	Коментари на БАКЕП	1356	Иновационна стратегия за интелигентна специализация	Sep 23 2014  7:52PM	Неразгледан			Одобрен
761	https://localhost:44300/PublicConsultation/View/985	Точна така!	985	Втори пакет с предложения за намаляване на административната тежест	Sep 23 2013 12:58PM	Неразгледан			Одобрен
762	https://localhost:44300/PublicConsultation/View/969	Коментар от Асоциация Високотехнологични енергийни системи	969	Наредба за обстоятелствата, подлежащи на вписване в регистрите на лицата, извършващи обследване и сертифициране на сгради и обследване за енергийна ефективност на промишлени системи, реда за получаване на информация от регистрите, условията и реда за п..	Sep 23 2013  5:31PM	Неразгледан			Одобрен
1086	https://localhost:44300/PublicConsultation/View/1356	Now	1356	Иновационна стратегия за интелигентна специализация	Sep 22 2014 11:57PM	Неразгледан			Одобрен
759	https://localhost:44300/PublicConsultation/View/985	Милост за земеделските производители	985	Втори пакет с предложения за намаляване на административната тежест	Sep 22 2013 12:11PM	Неразгледан			Одобрен
760	https://localhost:44300/PublicConsultation/View/985	Европейска здравноосигурителна карта (ЕЗОК)	985	Втори пакет с предложения за намаляване на административната тежест	Sep 22 2013  3:47PM	Неразгледан			Одобрен
3053	https://localhost:44300/PublicConsultation/View/2927	психологическа пригодност на категории лица	2927	Проект на инструкция за психологическо осигуряване на военнослужещите, цивилните служители и кандидатите за назначаване на длъжности за военнослужещи и цивилни служители в служба „Военна полиция”	Sep 21 2017 12:33PM	Неразгледан			Одобрен
2156	https://localhost:44300/PublicConsultation/View/2196	Предложение за допълнение в Проект на Национална програма за закрила на детето за 2016 г.	2196	Проект на Доклад по изпълнението на Националната програма за закрила на детето за 2015 г. и Проект на Национална програма за закрила на детето за 2016 г.	Sep 21 2016 12:58PM	Неразгледан			Одобрен
2174	https://localhost:44300/PublicConsultation/View/2211	Дано митниците получат реална подкрепа от Министерски съвет!	2211	Проект на Решение на Министерския съвет за приемане на Секторна стратегия за развитие на електронното управление в Агенция „Митници“ – „е-Митници“ 2014 г. – 2020 г. и Пътна карта за изпълнение на Секторна стратегия за развитие на електронното управлени	Sep 21 2016 10:07PM	Неразгледан			Одобрен
2173	https://localhost:44300/PublicConsultation/View/2197	Относно предложения за обществено обсъждане проект на ПМС за изм. и доп. на ППЗСП	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  7:00PM	Неразгледан			Одобрен
2172	https://localhost:44300/PublicConsultation/View/2197	Относно: Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  6:40PM	Неразгледан			Одобрен
2171	https://localhost:44300/PublicConsultation/View/2197	Относно: Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  6:37PM	Неразгледан			Одобрен
2170	https://localhost:44300/PublicConsultation/View/2197	Относно: Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  6:35PM	Неразгледан			Одобрен
2169	https://localhost:44300/PublicConsultation/View/2197	Относно: Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  6:34PM	Неразгледан			Одобрен
2168	https://localhost:44300/PublicConsultation/View/2197	Относно: Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  6:32PM	Неразгледан			Одобрен
2167	https://localhost:44300/PublicConsultation/View/2207	Подаване на декларация по чл.50 ЗДДФЛ по електронен път	2207	Проект на Закон за изменение и допълнение на Закона за акцизите и данъчните складове (ЗАДС)	Sep 21 2016  5:08PM	Неразгледан			Одобрен
2166	https://localhost:44300/PublicConsultation/View/2197	СТАНОВИЩЕ ОТН.  ПРОЕКТ НА ПОСТ-Е НА МС ЗА ИЗМ.И ДОПЪЛН  НА ПРАВИЛНИКА НА ЗСП-9 ЧАСТ	2197	Проект на ПМС за изм. и доп. на Правилника за прилагане на Закона за социалното подпомагане, приет с ПМС № 243 от 1998 г.	Sep 21 2016  5:05PM	Неразгледан			Одобрен
