Id	Title	UserCreated	URL	CategoryParent	Category	DocumentType	Institution	CreateDate	ValidTo
897	Стратегия за развитие и управление на водоснабдяването и канализацията в Република България за периода 2014-2023 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/897	Национални	Регионална политика	Решение	Министерския съвет	26.05.2014	31.12.2023
896	Средносрочна бюджетна прогноза за периода 2015-2017 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/896	Национални	Финанси и данъчна политика	Решение	Министерския съвет	26.05.2014	31.12.2015
894	Стратегия за намаляване на риска от бедствия 2014 - 2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/894	Национални	Правосъдие и вътрешни работи	Протокол	Министерския съвет	22.04.2014	31.12.2020
893	Национална програма за профилактика и контрол на векторно-предавани трансмисивни инфекции при хората в Република България 2014 – 2018 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/893	Национални	Здравеопазване	Решение	Министерския съвет	07.04.2014	31.12.2018
892	Стратегия за развитие на електронното управление в Република България 2014 – 2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/892	Национални	Държавна администрация	Решение	Министерския съвет	24.03.2014	31.12.2020
891	Стратегия за развитие на държавната администрация 2014 - 2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/891	Национални	Държавна администрация	Решение	Министерския съвет	19.03.2014	31.12.2020
890	Дългосрочната програма за развитие на националните еталони на Република България за периода 2013-2017 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/890	Национални	Бизнес среда	Протокол	Министерския съвет	04.03.2014	31.12.2017
889	Националната концепция за социална икономика	Искрен Иванов	https://localhost:44300/StrategicDocument/View/889	Национални	Социална политика и заетост	Протокол	Министерския съвет	04.03.2014	Не е указан срок
888	Националната статистическа програма за 2014 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/888	Национални	Междусекторни политики	Решение	Министерския съвет	04.03.2014	31.12.2014
886	Национален план за действие по заетостта през 2014 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/886	Национални	Социална политика и заетост	Протокол	Министерския съвет	30.01.2014	31.12.2014
885	Национален план за действие за насърчаване на равнопоставеността на жените и мъжете за 2014 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/885	Национални	Социална политика и заетост	Протокол	Министерския съвет	30.01.2014	31.12.2014
884	Средносрочна програма за помощ за развитие и хуманитарна помощ за периода 2013-2015 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/884	Национални	Външна политика, политика по сигурност и отбрана	Протокол	Министерския съвет	30.01.2014	31.12.2015
883	Национален план за изпълнение на Европейската гаранция за младежта 2014-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/883	Национални	Социална политика и заетост	Протокол	Министерския съвет	30.01.2014	31.12.2020
882	Национална стратегия за дългосрочна грижа	Искрен Иванов	https://localhost:44300/StrategicDocument/View/882	Национални	Социална политика и заетост	Решение	Министерския съвет	30.01.2014	Не е указан срок
881	Национална стратегия за насърчаване на малките и средните предприятия 2014-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/881	Национални	Бизнес среда	Решение	Министерския съвет	29.01.2014	31.12.2020
880	Национална стратегия за учене през целия живот 2014-2020 г.	Росица Янчева	https://localhost:44300/StrategicDocument/View/880	Национални	Образование	Решение	Министерския съвет	14.01.2014	31.12.2020
878	Национална стратегия за управление и развитие на водния сектор	Искрен Иванов	https://localhost:44300/StrategicDocument/View/878	Национални	Околна среда	Решение	Народното събрание	16.12.2013	31.12.2037
877	Национална програма за намаляване въздействието на радон в сгради върху здравето на българското население 2013 – 2017 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/877	Национални	Здравеопазване	Решение	Министерския съвет	16.12.2013	31.12.2017
876	Национален план за действие за устойчива употреба на пестициди в Република България	Искрен Иванов	https://localhost:44300/StrategicDocument/View/876	Национални	Земеделие и развитие на селските райони	Протокол	Министерския съвет	16.12.2013	Не е указан срок
875	Национална стратегия за развитие на горския сектор в Република България за периода 2013 - 2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/875	Национални	Земеделие и развитие на селските райони	Протокол	Министерския съвет	12.12.2013	31.12.2020
873	Стратегия за развитие на Националната статистическа система на Република България, 2013 - 2017 година	Искрен Иванов	https://localhost:44300/StrategicDocument/View/873	Национални	Междусекторни политики	Протокол	Министерския съвет	12.12.2013	31.12.2017
870	Стратегия за намаляване дела на преждевременно напусналите образователната система (2013-2020)	Росица Янчева	https://localhost:44300/StrategicDocument/View/870	Национални	Образование	Протокол	Министерския съвет	11.11.2013	31.12.2020
869	План за въвеждане на наземно цифрово телевизионно радиоразпръскване (DVB-T) в Република България	Искрен Иванов	https://localhost:44300/StrategicDocument/View/869	Национални	Наука и технологии	Решение	Министерския съвет	17.10.2013	Не е указан срок
868	Регионален план за развитие на Северозападния район за периода 2014-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/868	Национални	Регионална политика	Решение	Министерския съвет	17.10.2013	31.12.2020
867	Регионален план за развитие на Северния централен район за периода 2014-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/867	Национални	Регионална политика	Решение	Министерския съвет	17.10.2013	31.12.2020
866	Регионален план за развитие на Северноизточен район за периода 2014 - 2020	Искрен Иванов	https://localhost:44300/StrategicDocument/View/866	Национални	Регионална политика	Решение	Министерския съвет	17.10.2013	31.12.2020
865	Регионален план за развитие на Югозападен район за периода 2014-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/865	Национални	Регионална политика	Решение	Министерския съвет	17.10.2013	31.12.2020
864	Регионален план за развитие на Южен централен район 2014-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/864	Национални	Регионална политика	Решение	Министерския съвет	17.10.2013	31.12.2020
863	Регионален план за развитие на Югоизточен район от ниво 2 за периода 2014-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/863	Национални	Регионална политика	Решение	Министерския съвет	17.10.2013	31.12.2020
862	План за намеса при извънредни ситуации, свързани със затрудняване на доставките или значимо прекъсване на снабдяването с нефт и нефтопродукти.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/862	Национални	Правосъдие и вътрешни работи	Решение	Министерския съвет	17.10.2013	Не е указан срок
861	Национална програма за превенция на хроничните незаразни болести 2014-2020 г.	Искрен Иванов	https://localhost:44300/StrategicDocument/View/861	Национални	Здравеопазване	Решение	Министерския съвет	17.10.2013	31.12.2020
